2013-02-0214:22:00,frosty25,42
2013-02-0520:27:36,giantdwarf36,27
2013-02-0606:11:31,icecream246,70
2013-02-0823:41:23,bluff2,17
2013-02-1005:20:17,cheesecake764,62
2013-02-1301:13:46,healthy76,52
2013-02-1303:30:56,spiderman654,50
2013-02-1615:57:04,uncletobby65,12
2013-02-1713:11:24,perpendicular65,76
2013-02-1807:49:10,meow135,54
2013-02-1808:07:15,stuff53,72
2013-02-1813:40:25,taxidriver25,67
2013-02-1915:57:43,cheesecake764,50
2013-02-1918:45:28,fruity65,24
2013-02-2010:05:17,clapclap756,55
2013-02-2104:59:34,icecream246,31
2013-02-2216:35:21,carrot25,36
2013-02-2509:41:37,nuts35,43
2013-02-2816:50:01,polevault8,28
2013-03-0508:20:17,coffeeboom12,76
2013-03-0719:06:12,stubborn7685,93
2013-03-0721:39:53,warliketiny743,43
2013-03-1216:43:27,perpendicular65,55
2013-03-1319:45:33,pecker65,79
2013-03-1806:40:14,blackboard7,93
2013-03-2010:59:31,mrbrown2,93
2013-03-2015:43:44,laptop007,28
2013-03-2116:17:33,smarty86,99
2013-03-2421:10:31,lemon3,91
2013-03-2611:07:20,runnynose76,43
2013-03-2812:17:10,kettle354,21
2013-03-2901:56:27,instagum65,83
2013-04-0210:44:45,butterfly333,10
2013-04-0322:40:33,instagum65,52
2013-04-0906:28:34,underman63,35
2013-04-1110:50:13,darkcoco43,44
2013-04-1200:41:28,darkcoco43,14
2013-04-1218:05:52,burning25,27
2013-04-1710:46:11,mrbrown2,45
2013-04-3017:12:27,quarter543,100
2013-05-0306:52:16,uncletobby65,59
2013-05-1017:17:55,kitkat44,19
2013-05-1206:50:04,bobby6,42
2013-05-1323:00:48,bumble65,29
2013-05-1402:07:43,spiderman654,4
2013-05-1512:21:21,kitkat44,31
2013-05-1921:39:36,frosty25,50
2013-05-2107:57:16,peppermint53,18
2013-05-2200:04:49,pocket5,52
2013-05-3015:20:33,campfire67,37
2013-05-3016:40:24,nicewood34,91
2013-06-0112:30:53,grasshopper68,97
2013-06-0701:59:29,brainy12,78
2013-06-1410:16:00,loo13579,80
2013-06-1815:47:45,buffalo53,49
2013-06-2005:38:23,laptop007,25
2013-06-2508:34:51,orangina65,37
2013-06-2807:40:14,frosty25,44
2013-06-3001:33:44,spiderman654,3
2013-07-0716:05:44,loo13579,18
2013-07-0719:08:50,peanut3,49
2013-07-0920:30:03,peanut3,44
2013-07-2622:02:19,deserts556,10
2013-07-2717:49:10,judo53,89
2013-08-0110:25:36,compass53,21
2013-08-0513:39:39,loaded55,77
2013-08-0617:51:46,deserts556,76
2013-08-1314:45:01,trumpet123,88
2013-08-1410:05:43,taxidriver25,85
2013-08-1808:15:32,healthy76,49
2013-08-2215:17:04,hoover43,68
2013-08-2412:42:49,rapper567,40
2013-08-2905:41:47,icecream246,89
2013-09-0116:24:31,tether23,49
2013-09-0119:26:51,purplerain965,37
2013-09-0422:26:36,peanut3,4
2013-09-0505:26:12,skinny77,26
2013-09-0619:05:13,campfire67,79
2013-09-1023:32:31,deserts556,100
2013-09-1400:59:08,crap2,63
2013-09-1412:30:52,quarter543,54
2013-09-1715:29:25,toto65,54
2013-09-2205:14:29,mushroom758,52
2013-09-2211:40:37,lemon3,90
2013-09-2513:52:56,viper36,81
2013-10-0401:27:16,spiderman654,90
2013-10-0504:40:43,tether23,52
2013-10-0604:29:00,muttonsoup6,98
2013-10-1122:30:20,walnut24,63
2013-10-1402:27:15,hockeyball5,6
2013-10-1820:45:45,gloss345,39
2013-10-2011:52:47,builder36,88
2013-10-2816:19:50,sleepy25,17
2013-11-0419:42:17,cheesecake764,1
2013-11-0502:11:21,lobster64,58
2013-11-0521:44:08,princess65,11
2013-11-0600:02:57,itchy76,31
2013-11-0703:34:20,blackboard7,14
2013-11-0719:42:13,charming36,74
2013-11-0818:38:47,jellybean777,26
2013-11-1101:51:10,instagum65,20
2013-11-1309:29:26,buffalo53,2
2013-11-1416:20:41,deserts556,41
2013-11-1701:43:18,perpendicular65,10
2013-11-1704:28:49,smarty86,67
2013-11-1707:32:59,loaded55,83
2013-11-2020:53:48,quarter543,72
2013-11-2311:03:52,deserts556,52
2013-11-2405:22:10,paper65,48
2013-11-2512:59:43,pocket5,69
2013-11-2716:02:56,hoover43,11
2013-11-2820:08:16,sorethroat99,58
2013-11-3003:55:31,roastduck6,86
2013-11-3023:38:53,itchy76,36
2013-12-0116:43:24,funniest65,98
2013-12-0316:20:48,clapclap756,100
2013-12-0511:05:57,itchy76,5
2013-12-0608:02:03,purplerain965,28
2013-12-0704:49:23,campfire67,53
2013-12-0714:31:58,butterfly333,74
2013-12-0906:30:58,uncletobby65,42
2013-12-0909:20:52,builder36,3
2013-12-1404:16:09,campfire67,70
2013-12-1811:18:02,roastduck6,19
2013-12-1815:36:00,cactus75,1
2013-12-2613:48:48,knotty432,32
2013-12-2904:26:23,shocker56,29
2014-01-0100:41:43,judo53,99
2014-01-0110:26:14,clapclap756,13
2014-01-0116:41:37,leaking45,71
2014-01-0203:55:58,naughtycat5,58
2014-01-0208:01:48,quarter543,28
2014-01-0308:51:11,fiddler2,88
2014-01-0817:30:48,toto65,89
2014-01-1301:28:25,judo53,51
2014-01-1303:03:28,trumpet64,75
2014-01-1310:44:00,fruity65,52
2014-01-1410:56:58,cheesecake764,90
2014-01-1613:45:24,lego64,81
2014-01-1622:25:37,healthy76,23
2014-01-1708:25:06,stubborn7685,40
2014-01-1808:27:16,pudding26,35
2014-01-1900:16:29,lobster64,79
2014-01-2122:08:07,prawn863,58
2014-01-2200:37:47,builder36,100
2014-01-2207:55:07,pudding26,70
2014-01-2601:26:31,naughtycat5,41
2014-01-2611:59:06,purplerain965,24
2014-01-2615:47:46,runnynose76,69
2014-01-2806:00:05,honeymelon87,52
2014-01-2808:32:44,laptop007,30
2014-01-2814:53:04,wildpig64,36
