2014-02-2823:06:01angrybee95      76
2013-03-1806:40:14blackboard7     93
2013-11-0703:34:20blackboard7     14
2013-02-0823:41:23bluff2          17
2013-05-1206:50:04bobby6          42
2014-02-1814:23:21bobby6          41
2013-06-0701:59:29brainy12        78
2014-02-0215:22:01brainy12        92
2013-06-1815:47:45buffalo53       49
2013-11-1309:29:26buffalo53        2
2014-02-0315:37:48buffalo53       28
2013-10-2011:52:47builder36       88
2013-12-0909:20:52builder36        3
2014-01-2200:37:47builder36      100
2013-05-1323:00:48bumble65        29
2013-04-1218:05:52burning25       27
2014-03-2323:53:09buttercurry64   18
2013-04-0210:44:45butterfly333    10
2013-12-0714:31:58butterfly333    74
2013-12-1815:36:00cactus75         1
2013-05-3015:20:33campfire67      37
2013-09-0619:05:13campfire67      79
2013-12-0704:49:23campfire67      53
2013-12-1404:16:09campfire67      70
2013-02-2216:35:21carrot25        36
2013-11-0719:42:13charming36      74
2013-02-1005:20:17cheesecake764   62
2013-02-1915:57:43cheesecake764   50
2013-11-0419:42:17cheesecake764    1
2014-01-1410:56:58cheesecake764   90
2014-03-0101:39:27cheesesnake898  97
2013-02-2010:05:17clapclap756     55
2013-12-0316:20:48clapclap756    100
2014-01-0110:26:14clapclap756     13
2014-03-2423:57:34clapclap756     15
2013-03-0508:20:17coffeeboom12    76
2013-08-0110:25:36compass53       21
2014-03-2210:28:05compass53       78
2013-09-1400:59:08crap2           63
2014-02-2019:49:49crap2           91
2014-02-2520:19:05creampuff345    55
2013-04-1110:50:13darkcoco43      44
2013-04-1200:41:28darkcoco43      14
2014-02-2019:48:09darkcoco43      73
2013-07-2622:02:19deserts556      10
2013-08-0617:51:46deserts556      76
2013-09-1023:32:31deserts556     100
2013-11-1416:20:41deserts556      41
2013-11-2311:03:52deserts556      52
2014-01-0308:51:11fiddler2        88
2013-02-0214:22:00frosty25        42
2013-05-1921:39:36frosty25        50
2013-06-2807:40:14frosty25        44
2014-03-0102:08:05frosty25       100
2013-02-1918:45:28fruity65        24
2014-01-1310:44:00fruity65        52
2013-12-0116:43:24funniest65      98
2013-02-0520:27:36giantdwarf36    27
2013-10-1820:45:45gloss345        39
2013-06-0112:30:53grasshopper68   97
2013-02-1301:13:46healthy76       52
2013-08-1808:15:32healthy76       49
2014-01-1622:25:37healthy76       23
2014-03-2123:51:59healthy76       32
2013-10-1402:27:15hockeyball5      6
2014-02-0721:05:43hockeyball5     66
2014-01-2806:00:05honeymelon87    52
2013-08-2215:17:04hoover43        68
2013-11-2716:02:56hoover43        11
2014-02-1114:42:04hoover43         9
2014-03-0212:09:38hoover43        91
2013-02-0606:11:31icecream246     70
2013-02-2104:59:34icecream246     31
2013-08-2905:41:47icecream246     89
2014-03-0315:50:42icecream246      6
2013-03-2901:56:27instagum65      83
2013-04-0322:40:33instagum65      52
2013-11-1101:51:10instagum65      20
2013-11-0600:02:57itchy76         31
2013-11-3023:38:53itchy76         36
2013-12-0511:05:57itchy76          5
2013-11-0818:38:47jellybean777    26
2013-07-2717:49:10judo53          89
2014-01-0100:41:43judo53          99
2014-01-1301:28:25judo53          51
2013-03-2812:17:10kettle354       21
2013-05-1017:17:55kitkat44        19
2013-05-1512:21:21kitkat44        31
2013-12-2613:48:48knotty432       32
2014-03-0311:58:25knotty432       52
2013-03-2015:43:44laptop007       28
2013-06-2005:38:23laptop007       25
2014-01-2808:32:44laptop007       30
2014-03-0211:49:12laptop007       58
2014-01-0116:41:37leaking45       71
2014-01-1613:45:24lego64          81
2013-03-2421:10:31lemon3          91
2013-09-2211:40:37lemon3          90
2013-08-0513:39:39loaded55        77
2013-11-1707:32:59loaded55        83
2013-11-0502:11:21lobster64       58
2014-01-1900:16:29lobster64       79
2014-03-0205:42:20lobster64       76
2014-03-2121:15:25lobster64       86
2014-03-2422:13:14lobster64        4
2013-06-1410:16:00loo13579        80
2013-07-0716:05:44loo13579        18
2013-02-1807:49:10meow135         54
2014-02-1914:49:42meow135         16
2014-01-2821:25:22monkey654       50
2014-02-2523:55:15mopthefloor3    63
2013-03-2010:59:31mrbrown2        93
2013-04-1710:46:11mrbrown2        45
2014-02-2419:27:39mugger35        47
2013-09-2205:14:29mushroom758     52
2014-03-0301:38:59mushroom758     41
2014-03-1815:26:15mushroom758     57
2013-10-0604:29:00muttonsoup6     98
2014-03-0204:49:30napkin13        46
2014-03-0206:16:34napkin13        90
